,walk_score,bike_score,congestion,bus_density,pop_density,population,gdp_per_cap,city_tax,log_population,log_pop_density,log_bus_density,gdp_per_cap_x_log_population,congestion_x_gdp_per_cap,congestion_x_population,bike_score_x_log_pop_density,congestion_x_city_tax,gdp_per_cap_x_city_tax,congestion_x_log_population,population_x_city_tax,bike_score_x_pop_density,city_tax_x_log_population,constant
0,87,80,8.6,44.5,2900,5503985,9.0,1170,15.520982933300905,7.9724660159745655,3.7954891891721947,139.68884639970815,77.39999999999999,47334271.0,637.7972812779652,10062.0,10530.0,133.48045322638777,6439662450,232000,18159.55003196206,1
1,85,70,18.6,46.4,224,15067724,31.23,1204,16.52806553066321,5.4116460518550396,3.8372994592322094,516.171486522612,580.878,280259666.40000004,378.81522362985277,22394.4,37600.92,307.4220188703357,18141539696,15680,19899.790898918505,1
2,84,76,9.6,47.3,360,4320529,6.2,1136,15.278888406427154,5.886104031450156,3.856510295497887,94.72910811984835,59.519999999999996,41477078.4,447.3439063902118,10905.6,7043.2,146.67732870170067,4908120944,27360,17356.817229701246,1
3,96,75,11.5,48.0,287,2994521,4.11,1170,14.912294843518968,5.659482215759621,3.871201010907891,61.28953180686296,47.265,34436991.5,424.4611661819716,13455.0,4808.700000000001,171.49139070046812,3503589570,21525,17447.38496691719,1
